"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","measurement","showlatency","hidellatency","delay","measuredto"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","108912","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68568","158832","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","108672","100","101"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67552","108800","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67544","158952","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67284","108904","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","108904","110","114"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67288","159212","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67428","108904","100","103"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68436","108784","110","110"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68440","158960","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67672","108664","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67288","109040","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67412","158952","150","152"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67436","109020","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67164","108904","110","111"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67296","159208","150","153"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67012","109288","100","104"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67540","108784","110","115"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","68824","141928","150","151"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67420","108928","100","102"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67288","109024","110","112"
"Firefox","51.0","51","Gecko","51.0","Mac OS","10.11","minno","67288","159096","150","157"
