"Browser","Browser Version","Short Browser Version","Engine","Engine Version","OS","OS Version","measurement","showlatency","hidellatency","delay","measuredto"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53844","107880","110","110"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51284","141792","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","91248","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53848","107888","110","112"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","158312","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52568","91240","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53720","108008","110","113"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51680","141296","150","151"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51668","91248","100","103"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53716","108008","110","112"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51544","141416","150","152"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51412","108272","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","108008","110","115"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","141416","150","153"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52712","107904","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51540","108012","110","112"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51680","158064","150","154"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51680","107880","100","104"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51668","108008","110","113"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","52696","141304","150","153"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51544","91368","100","102"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","53596","108000","110","114"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51668","141424","150","155"
"Chrome","56.0.2924.87","56","WebKit","537.36","Mac OS","10.11.6","minno","51412","91496","100","104"
