"","showlatency","hidelatency","delay"
"343",63.16,119.456,110
"344",63.16,1001.808,1000
"345",69.976,52.872,50
"346",56.34,102.392,100
"347",61.452,121.172,110
"348",61.456,1001.8,1000
"349",52.932,73.336,50
"350",68.28,102.4,100
"351",63.152,122.88,110
"352",59.764,1001.792,1000
"353",52.944,68.216,50
"354",58.052,100.688,100
"355",63.16,122.872,110
"356",59.752,1003.512,1000
"357",68.296,51.144,50
"358",58.048,102.388,100
"359",61.464,122.864,110
"360",59.744,1001.792,1000
"361",69.988,54.576,50
"362",54.644,122.876,100
"363",59.74,119.464,110
"364",61.472,1003.504,1000
"365",68.264,56.3,50
"366",52.94,122.88,100
"367",59.74,119.452,110
"368",61.456,1001.8,1000
"369",52.928,73.344,50
"370",68.292,102.392,100
"371",63.148,119.468,110
"372",63.164,1003.5,1000
"373",68.28,52.864,50
"374",54.644,104.092,100
"375",63.152,117.764,110
"376",63.16,1003.504,1000
"377",68.276,52.86,50
"378",56.348,102.392,100
"379",63.168,121.168,110
"380",61.464,1001.796,1000
"381",68.272,54.576,50
"382",54.636,104.116,100
"383",61.456,119.44,110
"384",61.444,1005.228,1000
"385",66.58,52.864,50
"386",56.34,102.4,100
"387",63.172,122.852,110
"388",59.736,1001.812,1000
"389",69.972,51.164,50
"390",58.056,102.384,100
"391",61.444,121.176,110
"392",61.456,1001.804,1000
"393",69.972,54.568,50
"394",54.636,117.752,100
"395",63.156,122.872,110
"396",59.744,1001.792,1000
"397",69.98,54.572,50
"398",54.644,117.752,100
"399",63.168,121.16,110
"400",61.468,1005.208,1000
"401",66.58,52.864,50
"402",54.632,122.888,100
"403",59.76,121.16,110
"404",61.46,1001.8,1000
"405",69.996,54.568,50
"406",54.64,117.744,100
"407",63.156,122.872,110
"408",59.748,1001.808,1000
"409",69.984,54.568,50
"410",52.924,119.464,100
"411",63.172,121.16,110
"412",61.444,1001.808,1000
"413",69.988,54.576,50
"414",69.988,102.4,100
"415",63.164,122.864,110
"416",59.748,1000.088,1000
"417",52.944,71.624,50
"418",54.64,121.168,100
"419",61.464,119.448,110
"420",63.16,1001.808,1000
"421",68.292,52.872,50
"422",56.344,102.392,100
"423",63.156,121.164,110
"424",61.46,1001.784,1000
"425",68.276,54.576,50
"426",54.636,122.88,100
"427",59.756,119.444,110
"428",63.156,1005.216,1000
"429",64.864,54.576,50
"430",54.636,122.872,100
"431",59.756,119.448,110
"432",63.176,1001.772,1000
"433",68.284,54.576,50
"434",54.64,119.464,100
"435",63.156,121.16,110
"436",61.468,1000.092,1000
"437",52.952,71.608,50
"438",54.632,122.88,100
"439",59.764,119.436,110
"440",61.452,1005.216,1000
"441",66.56,52.872,50
"442",56.344,102.392,100
"443",63.152,117.76,110
"444",63.168,1005.22,1000
"445",66.568,52.864,50
"446",56.352,104.096,100
"447",61.46,119.444,110
"448",63.152,1001.82,1000
"449",69.976,54.584,50
"450",69.988,102.396,100
"451",63.196,119.416,110
"452",63.188,1003.472,1000
"453",66.568,54.568,50
"454",54.64,119.456,100
"455",63.148,121.176,110
"456",61.46,1000.084,1000
"457",54.632,71.644,50
"458",69.988,102.4,100
"459",63.156,119.472,110
"460",61.46,1003.496,1000
"461",68.284,52.888,50
"462",56.348,121.16,100
"463",61.452,119.456,110
"464",63.152,1005.216,1000
"465",64.864,54.576,50
"466",54.644,119.448,100
"467",61.456,122.868,110
"468",59.74,1001.824,1000
"469",52.924,69.92,50
"470",56.34,102.4,100
"471",63.192,122.856,110
"472",58.032,1003.512,1000
"473",68.26,52.88,50
"474",56.344,102.408,100
"475",63.164,119.44,110
"476",61.44,1003.52,1000
"477",68.264,52.88,50
"478",56.34,102.4,100
"479",63.148,119.464,110
"480",63.156,1003.516,1000
"481",66.58,52.856,50
"482",56.328,102.4,100
"483",63.148,122.872,110
"484",59.764,1001.784,1000
"485",69.972,56.296,50
"486",68.276,102.4,100
"487",63.16,119.452,110
"488",63.144,1003.52,1000
"489",68.264,52.884,50
"490",54.652,122.856,100
"491",59.756,121.152,110
"492",61.448,1001.812,1000
"493",69.972,54.592,50
"494",69.992,107.528,100
"495",58.052,121.14,110
"496",61.444,1001.816,1000
"497",69.976,54.592,50
"498",69.984,102.408,100
"499",63.164,122.872,110
"500",59.752,1001.812,1000
"501",69.972,52.896,50
"502",56.344,102.38,100
"503",61.488,121.136,110
"504",61.464,1001.784,1000
"505",69.984,54.56,50
"506",54.64,117.756,100
"507",63.148,121.176,110
"508",61.456,1001.796,1000
"509",69.984,54.576,50
"510",69.984,102.4,100
"511",63.18,122.864,110
"512",59.744,1003.512,1000
"513",66.556,54.576,50
"514",54.628,122.88,100
"515",59.736,119.46,110
"516",63.192,1001.768,1000
"517",69.988,52.868,50
"518",54.64,122.888,100
"519",59.736,119.464,110
"520",63.148,1003.52,1000
"521",66.572,52.864,50
"522",56.336,122.88,100
"523",59.76,119.416,110
"524",63.164,1001.8,1000
"525",69.968,54.596,50
"526",69.98,102.4,100
"527",63.164,122.872,110
"528",58.036,1003.512,1000
"529",68.264,56.296,50
"530",69.984,104.108,100
"531",61.468,119.464,110
"532",63.16,1005.2,1000
"533",64.876,52.852,50
"534",56.344,105.808,100
"535",59.748,119.464,110
"536",61.452,1003.492,1000
"537",69.984,51.156,50
"538",56.336,119.456,100
"539",63.164,121.16,110
"540",61.456,1001.792,1000
"541",68.276,54.584,50
"542",54.632,119.472,100
"543",63.156,121.16,110
"544",61.452,1000.096,1000
"545",69.992,56.272,50
"546",69.98,102.4,100
"547",63.16,121.16,110
"548",61.448,1001.816,1000
"549",68.268,54.584,50
"550",54.628,121.168,100
"551",61.46,117.752,110
"552",63.164,1003.504,1000
"553",68.272,52.872,50
"554",56.332,119.464,100
"555",61.46,122.872,110
"556",59.736,1003.504,1000
"557",68.284,52.872,50
"558",56.344,121.168,100
"559",61.444,119.456,110
"560",61.444,1005.216,1000
"561",66.576,52.868,50
"562",56.348,102.396,100
"563",63.152,117.76,110
"564",63.164,1003.5,1000
"565",68.268,52.868,50
"566",56.34,105.808,100
"567",59.748,119.464,110
"568",63.164,1005.216,1000
"569",64.856,54.592,50
"570",54.644,122.868,100
"571",59.756,119.448,110
"572",63.172,1000.084,1000
"573",71.7,51.16,50
"574",56.34,119.456,100
"575",63.16,119.464,110
"576",63.168,1001.792,1000
"577",68.28,56.296,50
"578",69.992,102.4,100
"579",63.156,117.752,110
"580",63.172,1003.5,1000
"581",68.276,52.864,50
"582",56.34,121.172,100
"583",61.46,117.752,110
"584",63.16,1005.216,1000
"585",66.588,52.864,50
"586",56.348,102.384,100
"587",63.184,117.728,110
